N,P,K,temperature,humidity,ph,rainfall,label
43,128,169,20.98,48.79,7.05,81.24,barley
52,39,19,26.94,67.58,5.84,63.05,maize
38,21,177,15.11,43.0,7.05,54.06,barley
16,131,178,21.39,41.58,6.5,66.79,wheat
83,84,143,26.26,59.63,7.42,52.55,cotton
129,140,121,28.94,54.11,6.43,99.57,cotton
99,23,82,28.28,55.71,7.32,133.52,maize
34,67,107,28.95,57.19,6.2,83.44,cotton
55,92,131,34.12,68.82,6.56,175.65,sugarcane
127,37,156,29.1,59.55,6.9,64.58,groundnut
96,18,86,27.75,39.73,5.72,63.56,millet
71,7,14,28.16,66.66,7.28,81.91,soybean
115,90,126,24.12,50.14,6.71,89.87,peas
101,113,21,25.77,65.49,6.34,106.49,sugarcane
13,43,190,25.25,62.62,7.09,121.36,maize
56,105,13,11.89,45.15,6.3,45.15,barley
77,95,118,39.56,40.96,5.69,84.8,cotton
8,22,43,24.75,72.36,6.75,155.78,sugarcane
63,92,76,15.08,41.42,6.87,62.12,barley
114,7,182,30.73,85.06,6.52,252.52,rice
72,105,50,25.5,40.53,6.43,52.23,cotton
33,120,160,11.55,43.89,7.37,101.23,wheat
32,17,68,14.12,60.59,6.19,96.07,peas
48,144,199,25.9,50.34,7.96,68.79,cotton
87,101,147,25.58,46.74,6.46,74.32,millet
31,70,92,17.18,43.23,6.35,61.89,barley
113,111,116,21.18,81.52,6.78,117.41,sugarcane
57,45,61,26.24,31.45,5.21,74.32,millet
135,140,79,35.36,44.32,6.57,75.45,cotton
45,25,50,29.21,69.36,6.98,81.62,soybean
136,121,137,29.4,48.76,7.38,95.75,cotton
12,83,159,27.12,68.93,5.82,108.17,maize
48,57,22,33.51,60.3,7.1,92.68,groundnut
95,92,181,26.77,85.65,6.73,218.18,rice
67,100,177,37.06,50.71,5.81,88.81,cotton
22,94,172,14.22,33.76,7.18,49.29,barley
108,114,97,24.19,55.27,6.53,60.59,wheat
79,102,103,33.25,65.17,6.79,83.22,groundnut
68,128,175,15.92,51.09,6.3,66.13,peas
57,68,157,28.1,44.85,6.78,59.02,millet
5,35,85,23.08,46.67,5.44,49.65,millet
51,78,36,20.5,71.75,7.2,125.61,soybean
107,39,18,11.19,42.33,6.54,52.49,wheat
16,58,68,17.02,37.11,7.49,49.83,barley
93,116,114,32.75,54.97,7.32,91.61,cotton
56,137,131,26.93,68.76,7.14,50.53,groundnut
17,107,193,28.53,56.76,6.52,73.63,cotton
51,121,24,22.23,58.93,7.19,104.41,peas
9,104,175,12.0,44.74,6.17,99.8,wheat
135,98,195,19.45,53.88,7.3,65.73,maize
86,52,143,25.74,50.8,6.55,83.54,groundnut
56,78,137,25.4,75.78,5.92,158.64,rice
102,10,9,11.52,34.88,6.76,89.73,barley
92,69,196,28.76,79.24,6.08,109.64,soybean
71,65,126,11.35,42.67,6.61,80.88,barley
95,130,191,26.26,64.34,6.82,81.15,groundnut
78,95,194,22.06,55.41,7.05,98.87,wheat
63,109,167,33.11,75.33,6.82,235.59,rice
131,26,45,13.23,30.28,6.34,90.61,barley
96,49,173,22.6,77.72,6.69,122.86,soybean
110,67,173,27.59,70.58,6.85,89.82,soybean
72,118,134,31.3,38.67,6.59,65.34,millet
49,122,171,21.29,67.9,7.36,132.84,soybean
56,46,169,16.35,51.01,6.04,73.23,wheat
72,25,9,24.35,74.83,6.33,224.23,rice
27,116,66,22.6,50.73,6.01,74.85,peas
28,27,205,20.53,47.28,6.04,81.59,wheat
104,102,59,21.95,48.93,5.15,30.45,millet
97,129,82,27.36,89.18,5.9,195.81,rice
128,80,186,16.38,32.66,7.38,67.51,barley
123,137,28,31.16,59.04,7.6,69.4,cotton
117,145,128,38.84,47.71,7.44,72.82,cotton
22,6,69,34.34,76.78,7.0,127.89,sugarcane
114,63,10,35.82,48.16,7.0,90.84,cotton
140,50,6,27.92,70.56,6.93,132.73,soybean
98,132,33,34.48,57.98,6.3,63.21,groundnut
75,10,67,19.99,43.17,6.17,42.94,barley
64,10,183,25.07,84.61,6.58,149.66,sugarcane
88,144,31,35.0,62.13,7.41,105.17,sugarcane
59,135,118,10.42,66.32,6.07,84.2,peas
74,82,141,21.37,34.57,7.26,50.69,barley
1,115,175,33.83,37.52,6.6,81.9,millet
46,26,31,13.98,49.83,7.0,97.34,wheat
87,55,142,20.78,44.03,5.83,57.42,millet
10,32,117,29.29,72.88,6.15,91.29,soybean
39,46,169,23.11,61.38,6.55,110.19,maize
4,104,71,37.05,51.09,5.79,57.51,cotton
35,117,74,27.83,79.62,6.28,123.68,sugarcane
53,16,54,34.04,46.35,5.31,68.41,millet
65,130,13,11.68,66.24,6.0,80.66,peas
114,42,98,33.21,40.1,6.37,57.4,cotton
87,66,31,22.03,36.87,6.37,58.48,barley
23,103,39,19.45,67.85,6.24,100.93,maize
36,22,182,29.45,73.19,5.68,252.89,rice
66,96,194,11.82,46.27,6.56,78.0,barley
52,105,80,31.91,49.79,7.66,71.15,cotton
23,13,29,26.39,53.19,6.57,67.83,cotton
105,7,142,18.21,53.1,6.7,69.3,peas
118,32,35,34.46,71.33,6.86,149.74,sugarcane
123,114,179,25.22,63.76,5.77,61.27,maize
75,42,29,25.55,79.64,6.42,197.99,rice
11,73,50,24.91,58.75,7.04,100.78,wheat
79,138,105,26.17,64.65,6.04,105.09,soybean
10,106,157,27.27,31.81,6.53,40.06,millet
130,10,195,24.09,39.94,5.93,32.09,millet
1,66,177,35.55,57.6,7.26,87.47,cotton
113,11,62,31.92,71.17,6.89,279.92,rice
134,136,68,38.32,55.53,7.86,65.1,cotton
72,30,38,23.93,46.37,5.37,83.65,millet
58,11,11,15.1,57.72,6.35,100.4,wheat
20,24,188,26.51,58.38,6.61,74.49,groundnut
116,26,132,22.45,50.99,7.04,89.86,maize
64,10,61,19.35,65.71,6.73,138.87,maize
48,40,103,34.13,78.91,6.22,198.75,rice
2,43,165,27.83,67.37,6.97,114.76,groundnut
137,136,116,18.7,62.84,6.28,112.64,peas
100,119,8,14.65,55.26,6.92,60.39,wheat
48,85,43,13.34,50.87,6.07,95.63,wheat
88,23,88,25.71,50.58,6.05,54.4,cotton
14,54,25,25.7,66.63,7.1,106.39,sugarcane
31,7,35,34.48,33.19,5.26,56.3,millet
24,111,197,28.99,64.54,7.15,131.58,soybean
128,139,37,25.51,82.58,7.17,188.64,sugarcane
39,62,169,22.2,40.98,6.57,51.55,millet
67,57,14,30.72,45.67,6.76,85.12,millet
73,133,77,24.02,72.27,6.7,115.83,soybean
33,32,185,34.43,78.56,6.79,225.28,rice
131,131,155,37.3,53.91,6.65,66.95,cotton
107,60,37,19.8,59.79,6.42,108.91,wheat
67,73,169,19.95,63.99,7.35,139.42,maize
96,43,45,13.88,36.39,6.85,95.27,barley
29,116,42,20.9,64.02,6.59,140.29,soybean
56,104,140,38.68,56.96,6.3,96.28,cotton
61,36,24,18.47,31.4,6.72,77.03,barley
69,108,190,19.8,43.21,6.35,60.12,wheat
67,59,22,29.18,62.27,7.32,70.84,maize
114,90,20,19.85,53.42,7.25,119.06,wheat
111,75,197,34.64,46.9,6.18,99.65,cotton
92,31,116,29.25,69.52,7.49,104.92,groundnut
18,9,83,12.2,40.46,6.36,68.05,wheat
46,5,93,22.18,60.14,5.93,71.57,maize
21,30,52,28.28,62.04,6.21,161.62,sugarcane
139,34,35,27.05,40.28,5.17,60.31,millet
21,123,70,20.43,51.29,6.29,105.51,peas
100,65,93,17.23,44.68,6.67,66.83,barley
125,31,178,10.02,33.35,7.4,64.77,barley
38,88,47,19.84,57.67,6.25,97.59,peas
75,108,112,24.46,50.04,5.76,97.1,maize
46,115,136,23.97,64.54,6.17,136.58,soybean
140,96,97,22.5,35.8,5.82,82.53,millet
115,81,178,22.56,67.56,7.5,76.83,peas
124,61,103,31.26,71.08,6.84,214.67,rice
99,49,190,34.63,78.05,6.25,166.53,rice
50,140,197,26.68,77.74,7.41,162.04,sugarcane
57,28,97,21.03,57.29,6.67,81.13,wheat
135,118,120,22.22,75.5,6.38,95.24,soybean
29,136,192,25.63,72.43,6.09,84.12,soybean
128,26,141,10.53,62.97,6.65,76.51,peas
78,55,12,25.78,45.51,5.49,38.29,millet
90,58,204,26.35,79.14,6.17,104.19,soybean
81,43,143,27.45,64.04,7.09,65.42,groundnut
34,47,93,18.36,49.75,6.71,114.24,wheat
60,51,201,11.15,31.27,6.25,82.51,barley
80,12,7,21.54,52.27,6.07,63.93,wheat
109,45,167,32.19,33.89,6.99,88.79,millet
57,140,192,32.58,59.14,6.65,97.34,groundnut
104,116,145,32.42,49.27,7.45,53.62,cotton
17,96,125,27.31,72.13,5.88,178.88,rice
35,59,29,18.73,55.19,6.59,90.09,peas
107,132,177,25.34,42.08,5.77,75.89,millet
70,91,189,20.39,41.07,6.64,69.85,millet
27,38,134,29.86,65.2,6.72,123.27,sugarcane
26,26,143,12.44,52.81,7.14,92.75,wheat
85,121,161,25.08,83.37,6.19,174.45,sugarcane
46,139,149,27.92,45.67,6.75,67.15,cotton
64,46,60,20.81,84.17,6.08,185.33,rice
135,116,85,13.13,32.05,6.21,54.5,barley
93,25,74,32.92,73.24,5.99,181.03,rice
48,70,97,28.57,84.45,5.9,159.82,rice
121,25,202,20.87,30.28,6.53,70.68,barley
76,80,101,10.78,43.53,6.9,109.08,wheat
140,113,100,27.8,69.68,6.09,81.83,soybean
10,137,153,27.72,76.13,6.52,135.97,soybean
5,81,50,29.93,67.03,5.92,104.5,maize
117,21,125,29.71,58.85,6.92,80.66,groundnut
115,68,146,21.7,86.75,5.86,154.46,rice
13,135,38,22.97,70.5,7.1,138.0,soybean
12,124,21,25.9,52.1,6.93,136.13,maize
61,81,71,29.87,68.08,7.46,112.15,soybean
132,39,120,31.43,34.14,5.85,37.97,millet
65,92,61,33.12,53.17,6.45,94.1,cotton
31,122,183,23.63,64.31,7.05,130.68,maize
31,25,104,14.52,30.7,7.36,76.81,barley
4,122,172,29.95,64.82,6.46,55.42,groundnut
99,128,39,30.17,85.31,6.36,281.32,rice
23,101,102,26.6,79.06,6.15,121.21,sugarcane
62,47,91,22.05,62.96,6.61,101.06,maize
93,20,17,12.69,43.49,6.32,67.49,barley
125,58,69,23.57,30.54,6.71,47.63,millet
65,8,101,28.81,62.24,6.05,90.65,soybean
35,104,18,18.61,58.63,6.56,91.75,peas
58,54,184,29.51,62.96,6.18,105.99,groundnut
29,110,111,28.4,49.59,6.1,72.78,cotton
20,10,132,39.34,48.55,6.96,50.86,cotton
75,52,83,29.3,50.31,6.4,103.65,groundnut
25,98,73,22.35,85.75,6.77,258.37,rice
128,65,65,34.46,64.08,7.15,96.41,groundnut
57,51,39,28.27,79.88,6.96,224.23,rice
59,43,36,15.11,48.41,7.06,45.38,barley
19,60,199,33.97,53.8,6.92,93.21,groundnut
118,87,162,39.44,52.06,6.34,80.54,cotton
21,62,119,27.44,65.86,7.12,158.6,sugarcane
39,115,167,29.52,57.03,6.54,138.98,maize
25,57,48,18.12,63.0,6.74,66.55,maize
3,128,20,24.75,66.72,6.1,111.45,soybean
118,20,182,14.97,54.18,6.31,87.6,peas
94,118,28,13.62,52.63,6.08,117.14,peas
103,5,30,14.12,58.02,6.89,80.62,peas
7,68,140,20.93,33.01,7.19,94.32,barley
52,130,77,21.6,34.52,7.39,80.49,barley
114,5,79,29.36,51.76,6.89,52.11,groundnut
61,43,154,31.09,86.68,6.37,153.67,rice
56,63,33,29.81,52.56,6.63,92.68,groundnut
107,97,142,31.86,33.77,5.85,67.96,millet
13,140,57,22.3,71.2,5.58,168.16,rice
117,47,176,16.97,33.4,6.21,63.6,barley
103,139,76,25.82,59.12,6.77,137.3,maize
12,139,115,29.92,60.03,7.09,114.48,sugarcane
69,120,40,27.16,68.87,6.96,144.33,soybean
99,145,176,23.2,52.29,6.08,99.3,maize
31,30,177,25.58,65.69,6.15,69.79,groundnut
46,11,12,22.28,62.24,7.25,95.21,soybean
122,140,98,12.1,32.33,7.37,65.6,barley
19,25,114,24.12,64.03,6.12,86.35,maize
84,88,200,21.1,43.91,6.77,78.28,barley
70,31,96,17.18,43.78,7.09,87.2,barley
46,59,27,25.35,83.01,5.65,298.62,rice
131,66,56,11.12,37.18,7.32,95.55,barley
93,39,117,21.78,54.99,6.44,50.07,wheat
79,80,112,21.5,52.97,6.44,60.95,peas
6,98,81,30.69,31.33,6.39,80.76,millet
19,35,111,28.21,43.59,5.55,55.01,millet
20,31,26,18.14,53.26,6.0,63.95,maize
4,51,97,27.97,51.2,6.51,88.67,maize
68,141,145,18.73,56.45,6.39,100.7,wheat
33,24,96,23.24,78.89,5.59,261.66,rice
41,81,52,21.76,52.34,7.02,76.38,peas
64,88,101,20.76,60.12,6.91,91.23,maize
43,105,15,22.73,46.54,6.63,55.68,barley
85,55,67,20.61,66.35,7.49,152.53,sugarcane
133,116,154,10.89,57.07,7.27,63.61,peas
70,49,64,33.75,57.85,6.11,83.08,cotton
7,5,134,21.78,80.39,6.11,179.18,sugarcane
3,122,186,16.14,46.5,7.08,54.35,barley
111,74,150,25.75,30.28,6.93,77.76,millet
25,91,7,21.7,42.11,7.16,86.77,barley
47,85,39,21.44,85.2,6.81,284.44,rice
135,99,35,19.77,58.57,6.92,84.66,wheat
29,68,102,33.31,49.31,5.81,39.93,millet
26,142,102,18.66,68.62,7.08,87.71,maize
87,53,65,33.09,52.18,6.36,80.08,cotton
21,15,122,24.41,72.77,6.03,176.73,rice
107,130,47,28.05,72.21,7.49,134.21,soybean
33,16,154,25.57,46.65,7.35,68.98,cotton
122,103,91,23.79,46.87,7.39,68.58,barley
59,86,115,12.17,69.06,6.82,100.11,peas
8,74,167,24.92,42.3,6.62,44.84,millet
11,145,46,16.35,63.95,7.31,115.86,peas
121,64,94,21.84,72.06,6.64,227.73,rice
127,31,99,28.14,74.47,6.54,289.66,rice
14,80,112,20.85,48.77,6.73,87.83,millet
92,74,143,24.5,62.17,6.11,103.45,sugarcane
44,94,102,14.83,53.12,6.98,115.59,peas
17,22,69,39.94,57.51,6.19,65.53,cotton
123,108,87,22.49,58.85,6.36,104.44,peas
59,12,147,28.83,45.57,7.66,88.62,cotton
41,129,5,32.88,66.15,6.26,50.01,groundnut
30,82,197,34.71,46.01,6.02,67.23,millet
89,57,65,12.35,54.82,7.31,60.93,peas
7,42,37,25.7,50.19,6.96,66.82,groundnut
140,27,35,11.33,44.45,6.71,97.87,barley
80,137,16,23.49,51.3,6.95,109.78,maize
72,25,16,27.07,63.66,6.5,85.69,groundnut
104,44,6,10.05,64.41,6.63,99.33,peas
19,62,9,33.98,72.3,7.29,147.61,sugarcane
111,115,203,16.35,45.82,7.45,72.87,barley
9,137,174,22.91,79.9,5.68,185.96,rice
95,42,76,29.54,32.66,6.27,72.42,millet
29,139,118,24.07,53.26,7.4,89.15,maize
33,102,138,30.04,71.02,5.8,250.19,rice
0,136,16,24.75,65.43,6.47,130.69,soybean
59,76,94,34.66,42.96,6.3,96.16,cotton
121,25,188,28.58,73.42,6.68,130.55,soybean
115,26,52,32.88,42.36,6.53,38.46,millet
17,47,111,22.35,50.04,6.58,142.58,maize
94,120,100,18.84,59.46,6.04,74.34,peas
37,143,164,20.75,45.17,6.53,89.2,millet
65,62,202,27.18,75.2,6.24,283.66,rice
2,123,105,31.92,47.25,6.32,59.36,millet
21,77,80,30.73,75.81,6.09,201.21,rice
21,113,103,23.79,65.55,6.55,119.16,maize
108,141,122,19.48,59.81,6.22,146.06,maize
31,16,57,11.63,50.54,6.63,106.63,wheat
46,87,93,19.15,63.09,6.25,60.17,peas
69,140,60,28.43,55.16,7.33,106.85,groundnut
101,118,155,26.64,66.34,6.88,80.37,soybean
99,31,97,20.13,48.37,6.89,48.66,barley
101,116,17,23.07,35.96,6.97,68.38,millet
28,26,48,33.81,77.11,6.84,162.57,sugarcane
120,7,7,31.83,43.03,6.36,50.5,cotton
110,126,174,33.56,79.66,6.66,161.14,sugarcane
81,35,194,33.14,86.76,6.44,221.94,rice
64,82,192,33.39,59.68,6.24,74.01,groundnut
33,40,133,13.43,54.97,6.5,93.31,wheat
97,41,79,23.35,68.81,5.8,69.9,maize
35,139,90,26.76,47.86,6.74,71.24,millet
107,21,138,26.9,71.36,5.58,221.29,rice
135,57,78,15.94,62.99,6.24,102.43,peas
140,46,30,21.01,53.31,6.28,82.46,maize
140,33,91,24.89,45.16,6.17,82.14,millet
5,15,24,27.75,72.53,6.08,113.47,soybean
20,40,166,13.18,52.32,6.92,73.1,wheat
122,47,132,10.52,30.89,7.03,43.94,barley
69,8,34,28.43,56.76,6.23,55.69,groundnut
140,123,188,24.0,56.7,7.3,66.48,peas
29,106,107,30.54,77.06,7.17,150.96,sugarcane
80,49,165,20.88,66.15,6.07,123.97,maize
96,130,175,26.1,67.73,6.06,94.34,soybean
132,124,99,27.55,82.96,5.73,225.63,rice
108,65,6,28.73,69.25,6.65,126.63,soybean
139,15,37,25.3,75.28,7.13,125.03,soybean
0,76,62,11.31,46.88,6.36,85.2,wheat
41,125,29,16.23,44.55,7.34,63.29,barley
98,6,150,27.2,80.12,5.8,269.35,rice
20,80,38,32.44,45.21,5.74,42.62,millet
47,120,201,24.8,71.38,6.87,189.02,sugarcane
100,69,54,29.13,75.25,6.36,115.61,soybean
56,50,72,33.05,77.24,6.33,194.18,sugarcane
87,19,177,35.23,47.16,7.15,73.56,cotton
118,101,44,22.46,79.78,6.81,219.93,rice
7,48,45,18.95,60.16,7.45,82.07,maize
79,49,144,17.85,38.64,6.39,45.37,barley
22,88,86,19.84,32.26,7.43,62.81,barley
130,99,202,29.97,80.27,6.13,171.46,sugarcane
4,69,198,25.35,62.54,6.25,94.24,soybean
24,135,164,27.0,68.61,7.46,125.78,maize
0,123,38,21.89,54.43,6.32,104.08,peas
15,51,38,37.29,47.11,5.69,53.31,cotton
59,68,34,21.09,35.11,6.49,34.43,millet
47,143,71,35.77,44.48,5.79,59.58,cotton
114,75,49,17.77,31.29,7.45,94.88,barley
126,124,109,16.47,40.58,6.98,81.6,wheat
49,44,35,34.16,34.85,5.18,37.67,millet
123,88,124,18.98,68.08,7.34,101.13,maize
28,111,26,17.61,55.1,7.47,117.79,peas
136,23,61,32.99,59.66,7.26,50.82,groundnut
8,44,125,21.34,68.81,6.83,139.42,maize
122,5,180,14.57,65.33,6.98,85.85,peas
122,21,75,24.42,72.29,7.45,112.86,sugarcane
86,91,125,31.71,53.77,6.11,89.65,groundnut
28,111,87,27.46,50.07,6.05,118.18,maize
36,30,157,31.15,30.16,6.18,81.52,millet
10,123,28,14.37,39.79,7.16,48.28,barley
42,23,7,19.23,31.44,7.08,92.43,barley
2,106,56,26.75,57.05,6.9,85.77,maize
46,113,86,31.09,38.31,5.51,74.86,millet
139,122,17,30.18,42.97,5.13,60.85,millet
75,11,17,24.95,76.91,6.27,90.36,soybean
135,6,57,29.75,52.6,6.96,57.33,groundnut
93,41,24,27.13,71.8,6.88,135.88,soybean
29,116,152,16.22,40.18,7.24,77.62,wheat
31,115,46,20.02,52.82,7.37,73.4,peas
84,49,200,28.32,62.33,7.0,107.33,groundnut
56,109,95,20.71,44.9,6.38,105.9,wheat
76,47,174,24.47,70.87,5.51,184.93,rice
60,44,204,30.19,84.74,6.95,241.45,rice
35,81,142,32.8,64.94,6.39,130.89,sugarcane
48,85,158,31.82,48.21,6.69,36.88,millet
108,99,201,24.17,62.39,6.42,86.57,soybean
16,65,113,22.03,55.07,7.48,117.04,peas
66,96,181,18.58,61.31,5.55,109.56,maize
70,110,90,31.26,31.08,5.14,35.25,millet
126,27,170,10.31,35.46,6.35,88.39,barley
17,130,95,28.18,59.67,7.02,73.02,cotton
6,136,97,24.4,67.29,6.24,90.74,peas
25,74,22,14.12,36.63,6.02,51.61,barley
70,92,192,17.09,55.33,6.01,111.07,peas
96,66,64,27.61,47.31,7.93,51.89,cotton
137,30,102,30.55,89.18,6.41,200.09,rice
132,34,5,19.9,58.45,6.29,146.29,maize
97,21,5,32.18,74.56,5.97,270.11,rice
62,85,174,23.94,41.77,6.45,76.13,millet
99,35,101,15.43,31.49,6.71,90.49,barley
98,63,143,23.07,79.14,6.13,99.15,soybean
64,90,143,23.57,87.74,6.11,171.77,rice
81,123,171,24.04,82.43,7.08,169.49,sugarcane
11,9,41,11.76,33.82,6.34,86.15,barley
74,54,72,15.85,41.92,7.21,58.8,barley
120,104,181,22.66,81.05,6.09,257.97,rice
90,110,65,29.17,51.13,6.3,70.41,maize
128,99,43,28.8,83.72,6.06,272.63,rice
79,109,95,33.36,55.55,6.8,77.19,groundnut
106,41,14,31.81,42.38,6.75,51.78,millet
125,52,26,39.09,40.53,7.46,91.9,cotton
78,103,26,10.24,50.16,6.08,67.53,peas
14,101,123,32.17,61.94,7.36,104.12,groundnut
33,122,73,20.41,60.99,6.01,64.02,peas
131,144,96,25.71,66.65,7.49,90.77,groundnut
9,34,186,37.57,57.54,6.02,67.27,cotton
133,17,58,16.75,63.87,6.44,103.77,peas
13,67,54,25.59,76.48,6.54,147.71,sugarcane
49,122,89,33.53,63.33,6.8,77.37,groundnut
96,114,101,11.61,63.58,6.24,91.08,peas
90,79,91,20.48,68.51,7.07,164.78,sugarcane
98,42,31,32.13,62.93,6.05,135.01,sugarcane
82,48,67,16.35,38.07,6.16,63.65,barley
46,126,184,34.89,40.47,5.36,45.24,millet
24,5,129,15.25,49.23,7.37,47.36,barley
70,142,47,10.81,42.78,7.1,65.44,wheat
87,59,162,27.93,42.63,5.55,66.92,millet
41,124,198,21.33,49.69,6.39,69.77,wheat
101,96,67,18.42,67.37,7.16,73.32,peas
55,59,197,29.04,78.52,6.62,129.41,soybean
125,56,139,29.21,66.24,7.33,124.87,maize
139,61,27,20.96,44.54,6.41,74.36,millet
21,50,59,22.59,42.26,6.5,82.57,barley
47,122,45,26.38,65.86,6.38,53.87,groundnut
46,81,22,33.37,37.49,5.19,36.0,millet
93,78,60,29.27,62.58,6.79,102.1,soybean
134,12,202,34.24,54.98,6.69,69.98,groundnut
97,115,161,22.84,44.25,6.94,65.8,wheat
62,43,68,29.66,64.58,6.99,122.28,maize
12,97,203,18.09,67.38,6.6,110.17,peas
20,58,117,23.58,66.88,6.58,101.56,soybean
22,79,181,21.67,49.23,6.78,64.89,millet
114,48,186,23.68,65.19,7.4,177.98,sugarcane
75,38,36,33.24,82.94,7.24,120.49,sugarcane
113,70,27,20.08,78.34,7.2,101.49,soybean
126,102,175,34.92,59.1,6.21,66.29,groundnut
59,84,150,23.23,68.48,7.33,88.35,maize
80,106,48,29.05,66.27,6.55,86.52,soybean
37,134,65,21.25,62.2,6.52,100.52,maize
118,88,26,24.6,52.54,7.04,136.49,maize
35,26,110,23.42,71.19,6.19,83.36,soybean
32,6,96,32.29,58.9,7.28,94.19,cotton
8,20,141,34.03,66.55,6.12,81.88,groundnut
33,82,106,32.12,69.76,6.85,125.97,sugarcane
81,103,155,30.27,41.66,5.75,84.12,millet
133,97,145,30.91,47.2,5.74,37.36,millet
140,87,164,32.73,82.27,6.15,165.32,sugarcane
95,110,166,29.31,74.85,5.68,236.84,rice
62,117,145,26.71,54.47,7.0,91.11,cotton
25,77,92,25.11,64.07,5.83,68.35,maize
72,61,185,25.43,73.09,7.44,142.56,soybean
57,78,124,26.24,52.55,6.52,117.41,maize
6,66,200,21.74,68.86,7.05,67.07,peas
20,24,30,20.55,76.45,6.44,98.45,soybean
33,128,200,14.5,40.82,6.55,105.88,wheat
93,136,10,27.77,67.58,6.35,66.38,maize
111,99,25,30.31,32.85,5.02,58.06,millet
25,84,169,21.59,87.94,6.85,192.07,rice
33,68,151,31.72,59.48,6.54,73.59,groundnut
104,89,147,22.21,89.45,6.3,185.8,rice
66,36,139,34.92,63.07,6.92,106.49,groundnut
18,45,37,10.16,37.01,7.35,51.06,barley
55,71,186,31.69,86.9,5.69,184.1,rice
55,133,102,17.88,55.94,7.1,80.48,wheat
20,44,65,12.86,40.34,6.76,61.92,wheat
53,41,121,18.67,47.91,6.58,77.13,barley
132,55,24,21.54,62.82,6.8,154.89,sugarcane
129,97,158,33.11,67.82,6.14,160.04,sugarcane
93,99,148,20.55,50.96,6.0,82.45,maize
38,136,89,23.91,36.24,6.28,45.27,millet
5,133,149,33.33,52.07,6.98,58.97,groundnut
133,115,181,17.12,55.96,6.43,96.69,wheat
6,103,188,22.08,77.32,6.96,148.18,soybean
44,49,98,33.45,48.91,7.72,76.56,cotton
25,78,138,23.48,79.17,7.42,101.46,soybean
48,129,6,29.76,60.6,7.28,138.19,soybean
8,33,83,11.28,42.52,6.0,70.22,barley
101,69,103,20.74,44.66,7.16,58.39,barley
59,101,115,15.59,56.83,7.31,63.96,peas
32,119,73,19.9,40.61,6.52,56.43,barley
91,113,189,18.59,33.54,6.5,51.88,barley
0,109,19,13.08,50.32,6.75,81.61,wheat
85,58,70,15.27,54.1,6.9,63.4,peas
21,25,126,26.93,73.97,5.95,244.57,rice
22,68,107,17.09,46.87,6.21,91.7,barley
34,81,105,33.99,60.71,6.1,185.13,sugarcane
20,145,145,17.15,58.71,6.88,104.84,peas
112,98,5,22.18,50.66,6.29,96.1,maize
49,140,92,17.54,32.4,6.27,47.87,barley
37,47,135,20.56,33.54,6.04,52.07,millet
15,139,47,20.82,46.19,5.01,37.08,millet
97,60,150,26.21,44.03,5.49,41.77,millet
85,86,112,32.77,31.54,6.55,44.96,millet
121,24,127,18.15,52.37,6.73,144.13,maize
139,110,10,18.86,57.92,6.24,103.77,maize
70,119,186,20.17,64.91,7.16,129.95,sugarcane
2,41,112,12.61,59.75,6.16,102.91,peas
84,143,37,14.08,36.93,7.21,91.18,barley
85,126,108,20.2,49.37,7.06,87.47,barley
91,77,48,21.27,81.24,5.94,240.72,rice
126,44,202,27.66,58.0,6.95,94.17,groundnut
111,110,56,23.92,85.1,6.1,211.66,rice
60,119,186,15.71,36.23,6.52,90.2,barley
136,66,163,24.99,60.77,7.31,142.56,soybean
18,26,118,26.08,45.96,5.26,44.24,millet
63,69,98,20.7,66.81,6.4,122.22,soybean
70,9,155,25.92,62.91,7.01,54.82,groundnut
67,22,97,13.15,35.99,7.29,50.95,barley
121,53,91,25.6,54.55,6.57,69.69,groundnut
27,55,143,28.17,50.23,7.07,78.88,groundnut
9,122,176,28.1,58.65,6.34,113.12,groundnut
5,56,109,34.1,77.52,6.59,154.74,rice
116,49,86,21.41,58.94,7.34,87.6,peas
19,20,144,33.67,89.07,5.81,204.0,rice
113,25,193,12.54,31.99,7.24,77.07,barley
25,121,20,26.53,65.34,6.23,181.78,sugarcane
54,27,152,14.65,47.59,6.32,110.41,wheat
5,119,44,16.89,58.81,6.44,112.02,wheat
36,44,13,20.11,61.87,6.71,87.89,soybean
129,117,52,28.33,63.45,7.17,50.13,groundnut
74,110,152,21.64,64.86,7.27,90.17,soybean
117,116,133,30.16,49.3,6.57,84.74,cotton
37,14,35,21.92,63.26,6.9,126.53,soybean
124,91,67,20.83,65.2,5.72,101.87,maize
92,56,61,23.79,45.9,7.45,90.45,barley
99,6,143,27.65,50.93,6.36,51.09,cotton
36,109,111,20.53,60.16,6.18,117.18,soybean
1,104,8,32.25,78.9,6.94,159.13,sugarcane
82,39,93,11.4,56.15,6.83,73.95,peas
108,54,54,12.11,42.27,6.29,60.73,wheat
59,55,189,25.96,60.16,6.51,136.54,soybean
125,144,23,21.53,45.22,6.23,68.4,wheat
71,59,76,29.35,77.24,6.64,230.92,rice
21,37,98,24.93,53.6,7.31,108.39,wheat
8,76,41,19.27,41.15,6.49,60.59,barley
116,113,192,19.27,64.52,5.9,129.78,maize
34,102,125,34.98,54.0,6.89,77.8,groundnut
7,74,176,29.94,62.92,7.08,96.11,soybean
103,94,22,21.21,69.52,6.66,80.67,soybean
43,145,50,28.22,83.69,7.0,290.92,rice
